Atom,Element,Coordination,bond ri (Å),angle θ0 (deg),distance,energy,scale ζ,charge Zi,Source,,Vi,Uj,Xi,Hardness,Radius
Fr,Fr,1,2.88,180,4.9,0.05,12,1.847,UFF,,0,0,2,2,2.3
Ga3+3,Ga,4,1.26,109.47,4.383,0.415,11,1.821,UFF,,0,0.7,3.641,3.16,1.211
Ga3f2,Ga,4,1.15,109.47,4.383,0.415,11,1.821,UFF4MOF2,,,,,,
Ga6f3,Ga,6,1.48,90,4.383,0.415,11,1.821,UFF4MOF2,,,,,,
Gd6+3,Gd,6,1.735,90,3.368,0.009,12,3.3,UFF,,0,0.1,3.1665,2.9745,1.968
Gd6f3,Gd,6,1.55,90,3.368,0.009,12,3.3,UFF4MOF2,,,,,,
Gd8f4,Gd,8,1.7,109.47,3.368,0.009,12,3.3,UFF4MOF2,,,,,,
Ge3,Ge,4,1.197,109.47,4.28,0.379,12,2.789,UFF,,0.701,0.7,4.051,3.438,1.189
H_,H,1,0.354,180,2.886,0.044,12,0.712,UFF,,0,0,4.528,6.9452,0.371
H_b,H,2,0.46,83.5,2.886,0.044,12,0.712,UFF,,0,0,4.528,6.9452,0.371
He4+4,He,4,0.849,90,2.362,0.056,15.24,0.098,UFF,,0,0,9.66,14.92,1.3
Hf3+4,Hf,4,1.611,109.47,3.141,0.072,12,3.921,UFF,,0,0.1,3.7,3.4,1.759
Hf8f4,Hf,8,1.46,109.47,3.141,0.072,12,3.921,UFF4MOF2,,,,,,
Hg1+2,Hg,2,1.34,180,2.705,0.385,12,1.75,UFF,,0,0.1,6.27,4.16,1.6
Hg3f2,Hg,4,1.248,109.47,2.705,0.385,12,1.75,UFF4MOF2,,,,,,
Ho6+3,Ho,6,1.696,90,3.409,0.007,12,3.416,UFF,,0,0.1,3.127,2.891,1.925
Ho8f4,Ho,8,1.7,109.47,3.409,0.007,12,3.416,UFF4MOF2,,,,,,
I_,I,1,1.382,180,4.5,0.339,15,2.65,UFF,,0,0.2,6.822,3.762,1.333
In3+3,In,4,1.459,109.47,4.463,0.599,11,2.07,UFF,,0,0.2,3.506,2.896,1.404
In3f2,In,4,1.33,109.47,4.463,0.599,11,2.07,UFF4MOF2,,,,,,
In6f3,In,6,1.53,90,4.463,0.599,11,2.07,UFF4MOF2,,,,,,
In8f4,In,8,1.53,109.47,4.463,0.599,11,2.07,UFF4MOF2,,,,,,
